,filename,label,split
0,00176480_nohash_0_bed.wav,bed,test
1,004ae714_nohash_0_bed.wav,bed,leaveout
2,004ae714_nohash_1_bed.wav,bed,leaveout
3,00f0204f_nohash_0_bed.wav,bed,dev
4,00f0204f_nohash_1_bed.wav,bed,leaveout
5,012c8314_nohash_0_bed.wav,bed,dev
6,012c8314_nohash_1_bed.wav,bed,leaveout
7,0132a06d_nohash_0_bed.wav,bed,leaveout
8,0135f3f2_nohash_0_bed.wav,bed,test
9,0137b3f4_nohash_0_bed.wav,bed,leaveout
10,014f9f65_nohash_0_bed.wav,bed,leaveout
11,01648c51_nohash_0_bed.wav,bed,leaveout
12,01648c51_nohash_1_bed.wav,bed,leaveout
13,016e2c6d_nohash_0_bed.wav,bed,leaveout
14,01b4757a_nohash_0_bed.wav,bed,leaveout
15,01b4757a_nohash_1_bed.wav,bed,dev
16,01bcfc0c_nohash_0_bed.wav,bed,leaveout
17,0227998e_nohash_0_bed.wav,bed,leaveout
18,026290a7_nohash_0_bed.wav,bed,leaveout
19,02746d24_nohash_0_bed.wav,bed,leaveout
20,035de8fe_nohash_0_bed.wav,bed,leaveout
21,0362539c_nohash_0_bed.wav,bed,leaveout
22,0362539c_nohash_1_bed.wav,bed,leaveout
23,037c445a_nohash_0_bed.wav,bed,test
24,0397ecda_nohash_0_bed.wav,bed,leaveout
25,03c96658_nohash_0_bed.wav,bed,test
26,042186b8_nohash_0_bed.wav,bed,dev
27,042ea76c_nohash_0_bed.wav,bed,leaveout
28,0447d7c1_nohash_0_bed.wav,bed,leaveout
29,0474c92a_nohash_0_bed.wav,bed,leaveout
30,0474c92a_nohash_1_bed.wav,bed,leaveout
31,05739450_nohash_0_bed.wav,bed,leaveout
32,05b2db80_nohash_0_bed.wav,bed,leaveout
33,05d18852_nohash_0_bed.wav,bed,leaveout
34,06076b6b_nohash_0_bed.wav,bed,leaveout
35,060cd039_nohash_0_bed.wav,bed,leaveout
36,060cd039_nohash_1_bed.wav,bed,test
37,063d48cf_nohash_0_bed.wav,bed,leaveout
38,063d48cf_nohash_1_bed.wav,bed,leaveout
39,0685264e_nohash_0_bed.wav,bed,leaveout
40,07363607_nohash_0_bed.wav,bed,leaveout
41,079dfce3_nohash_0_bed.wav,bed,leaveout
42,079dfce3_nohash_1_bed.wav,bed,leaveout
43,079dfce3_nohash_2_bed.wav,bed,leaveout
44,07c5129e_nohash_0_bed.wav,bed,dev
45,099d52ad_nohash_0_bed.wav,bed,leaveout
46,09bcdc9d_nohash_0_bed.wav,bed,test
47,09bcdc9d_nohash_1_bed.wav,bed,leaveout
48,09ddc105_nohash_0_bed.wav,bed,leaveout
49,09ddc105_nohash_1_bed.wav,bed,test
50,0a7c2a8d_nohash_0_bed.wav,bed,leaveout
51,0b09edd3_nohash_0_bed.wav,bed,leaveout
52,0b56bcfe_nohash_0_bed.wav,bed,leaveout
53,0b77ee66_nohash_0_bed.wav,bed,leaveout
54,0b77ee66_nohash_1_bed.wav,bed,leaveout
55,0b77ee66_nohash_2_bed.wav,bed,leaveout
56,0bde966a_nohash_0_bed.wav,bed,leaveout
57,0bde966a_nohash_1_bed.wav,bed,leaveout
58,0c2ca723_nohash_0_bed.wav,bed,test
59,0c2ca723_nohash_1_bed.wav,bed,dev
60,0c2d2ffa_nohash_0_bed.wav,bed,leaveout
61,0c2d2ffa_nohash_1_bed.wav,bed,leaveout
62,0c40e715_nohash_0_bed.wav,bed,leaveout
63,0d2bcf9d_nohash_0_bed.wav,bed,leaveout
64,0d2bcf9d_nohash_1_bed.wav,bed,leaveout
65,0d393936_nohash_0_bed.wav,bed,leaveout
66,0e17f595_nohash_0_bed.wav,bed,test
67,0e17f595_nohash_1_bed.wav,bed,leaveout
68,0e5193e6_nohash_0_bed.wav,bed,leaveout
69,0ea0e2f4_nohash_0_bed.wav,bed,leaveout
70,0ea0e2f4_nohash_1_bed.wav,bed,leaveout
71,0f7dc557_nohash_0_bed.wav,bed,leaveout
72,0ff728b5_nohash_0_bed.wav,bed,leaveout
73,102192fd_nohash_0_bed.wav,bed,leaveout
74,10467b06_nohash_0_bed.wav,bed,leaveout
75,105a0eea_nohash_0_bed.wav,bed,leaveout
76,105e72bb_nohash_0_bed.wav,bed,dev
77,10627519_nohash_0_bed.wav,bed,leaveout
78,106a6183_nohash_0_bed.wav,bed,leaveout
79,10ace7eb_nohash_0_bed.wav,bed,leaveout
80,10c6d873_nohash_0_bed.wav,bed,leaveout
81,11321027_nohash_0_bed.wav,bed,leaveout
82,118261a9_nohash_0_bed.wav,bed,leaveout
83,118261a9_nohash_1_bed.wav,bed,dev
84,118261a9_nohash_2_bed.wav,bed,leaveout
85,11860c84_nohash_0_bed.wav,bed,leaveout
